date,open,high,low,close,volume,change_pct
2026-02-12,,,,,,,
2026-02-11,,,,,,,
2026-02-10,,,,,,,
2026-02-07,,,,,,,
2026-02-06,,,,,,,
2026-02-05,,,,,,,
2026-02-04,,,,,,,
2026-01-31,,,,,,,
2026-01-30,,,,,,,
2026-01-29,,,,,,,
2026-01-28,,,,,,,
2026-01-27,,,,,,,
2026-01-24,,,,,,,
2026-01-23,,,,,,,
2026-01-22,,,,,,,
2026-01-21,,,,,,,
2026-01-20,,,,,,,
2026-01-17,,,,,,,
2026-01-16,,,,,,,
2026-01-15,,,,,,,
2026-01-14,,,,,,,
